record_id,owner_id,taxpayer_type,owner_name,tin,mailing_address,mailing_city,mailing_province,property_id,pin,tax_declaration_no,province,city_municipality,barangay,property_address,property_type,class_code,zoning_classification,land_use,lot_number,unit_no,lot_area_sqm,market_value,assessment_level,assessed_value,tax_rate,tax_amount,assessment_year,due_date,years_as_owner,prior_assessments,prior_late_payments,prior_unpaid_payments,avg_previous_delay_days,outstanding_balance,payment_compliance_score,is_late_payment
16,1674,Company,AGRINOVA HOLDINGS PARTNERS,774-422-418-000,"190 Matina Aplaya Road, Lumiad, City of Davao",City of Davao,Davao Del Sur,8,11-000-000-000008,TD-11-2024-000008,Davao Del Sur,City of Davao,Mabuhay,"Unit 10D, Verdon Parc, Mabuhay, City of Davao",Residential Condo,RES-02,Residential High Density,Condominium Residential,LOT-00008,Unit 10D,40,498522.81,0.25,124630.7,0.0146,1819.61,2024,2024-03-31,20,8,1,1,32.5,1107.7,67.33,0
2550,1706,Company,Lanang Realty Enterprises,806-518-642-000,"964 Maa Road, Tagbitan-ag, Island Garden City of Samal",Island Garden City of Samal,Davao Del Norte,1275,11-000-000-001275,TD-11-2024-001275,Davao Del Sur,CITY OF DAVAO,Gatungan,"977 Bajada Road, Gatungan, City of Davao",Commercial,COM-01,Commercial Zone,Retail / Office,LOT-01275,N/A,157,2666282.2,0.5,1333141.1,0.0151,20130.43,2023,2023-09-30,13,8,1,1,31.1,9045.21,70.73,0
1296,1333,Individual,Dominic C. Garcia,433-399-031-000,"586 Cabaguio Ave, Butuan, Jose Abad Santos",Jose Abad Santos,Davao Occidental,648,11-000-000-000648,TD-11-2024-000648,Davao Oriental,Caraga,Palma Gil,"171 Lanang Road, Palma Gil, Caraga",Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,LOT-00648,N/A,3315,2497792.04,0.4,999116.82,0.0133,13288.25,2022,2022-09-30,2,3,1,1,63.5,8335.8,28.42,1
4158,1009,Individual,Mary Grace W. Cruz,109-427-763-000,"460 R. Castillo St, New Katipunan, Maragusan",Maragusan,Davao De Oro,2079,11-000-000-002079,TD-11-2024-002079,Davao Del Sur,CITY OF DAVAO,Talomo River,"272 Torres St, Talomo River, City of Davao",Industrial,IND-01,Industrial Zone,Warehouse / Light Manufacturing,LOT-02079,N/A,1373,19185474.14,0.5,9592737.07,0.0173,165954.35,2024,2024-12-31,5,6,3,1,56.5,112358.79,33.63,1
1808,487,Company,Maharlika Commercial Hub Inc.,587-861-109-000,"336 McArthur Highway, Barangay 7-A (Pob.), City of Davao",City of Davao,Davao Del Sur,904,11-000-000-000904,TD/11/2024/000904,Davao Del Sur,City of Davao,Gov. Vicente Duterte,"175 Cabaguio Ave, Gov. Vicente Duterte, City of Davao",Industrial,IND-01,Industrial Zone,Warehouse / Light Manufacturing,LOT-00904,N/A,1069,11192538.13,0.5,5596269.07,0.0155,86742.17,2023,2023-12-31,17,8,3,1,60.2,54508.06,33.8,1
3666,1270,Individual,Trisha W. Domingo,370-210-590-000,"374 Bajada Road, Pandaitan, City of Davao",City of Davao,Davao Del Sur,1833,11-000-000-001833,TD-11-2024-001833,Davao Del Sur,City of Davao,Gov. Paciano Bangoy,"Lot 108, Purok 9, Gov. Paciano Bangoy, City of Davao",Commercial Vacant Land,CVL-01,Commercial Expansion Zone,Idle Commercial Land,LOT-01833,N/A,383,2564284.32,0.4,1025713.73,0.0137,14052.28,2023,2023-03-31,9,8,2,1,46.4,9110.68,48.15,0
4890,984,Individual,Lea G. Pascual,084-352-588-000,"794 Bonifacio St, Barangay 28-C (Pob.), City of Davao",City of Davao,Davao Del Sur,2445,11-000-000-002445,TD-11-2024-002445,Davao Del Sur,City of Davao,Alfonso Angliongto Sr.,"499 Bajada Road, Alfonso Angliongto Sr., City of Davao",Commercial,COM-01,Commercial Zone,Retail / Office,LOT-02445,N/A,453,6889856.94,0.5,3444928.47,0.0185,63731.18,2024,2024-06-30,15,8,3,1,47.2,43744.47,31.82,1
2003,1499,Company,Toril Builders Inc.,599-897-193-000,"290 Catalunan Grande Road, Sion, Island Garden City of Samal",Island Garden City of Samal,Davao Del Norte,1002,11-000-000-001002,TD/11/2024/001002,Davao Del Norte,Kapalong,Capungagan,"297 Catalunan Grande Road, Capungagan, Kapalong",Mixed Use,MIX-01,Mixed Use Corridor,Residential-Commercial,LOT-01002,N/A,207,1471886.79,0.45,662349.06,0.0147,9736.53,2023,2023-06-30,6,7,2,1,47.6,6003.5,50.31,0
2765,228,Individual,Bianca V. Luna,328-084-296-000,"185 Bajada Road, Saloy, City of Davao",City of Davao,Davao Del Sur,1383,11-000-000-001383,TD-11-2024-001383,Davao Del Sur,City of Davao,Buhangin (Pob.),"Lot 124, Purok 2, Buhangin (Pob.), City of Davao",Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,LOT-01383,N/A,889,1860845.26,0.2,372169.05,0.0109,4056.64,2021,2021-03-31,1,1,0,0,0.0,607.92,80.37,0
3787,1213,Company,Durian Builders LLC,313-039-191-000,"172 Maa Road, Tiguman, City of Digos",City of Digos,Davao Del Sur,1894,11-000-000-001894,TD-11-2024-001894,Davao Del Sur,City of Digos,Ruparan,"58 Diversion Road, Ruparan, City of Digos",Commercial,COM-01,Commercial Zone,Retail / Office,LOT-01894,N/A,618,7665663.93,0.5,3832831.96,0.0161,61708.59,2021,2021-12-31,9,8,2,1,48.8,41464.44,49.54,0
4422,1209,Individual,Jessa J. Castro,309-027-163-000,"806 Lanang Road, Sasa, City of Davao",City of Davao,Davao Del Sur,2211,11-000-000-002211,TD-11-2024-002211,Davao Oriental,Governor Generoso,Oregon,"655 Lanang Road, Oregon, Governor Generoso",Residential,RES-01,Residential Zone,Single Detached Housing,LOT-02211,N/A,75,584258.74,0.2,116851.75,0.0122,1425.59,2024,2024-12-31,13,8,1,1,29.6,819.71,78.74,0
2304,1553,Individual,Clarence M. Carreon,653-059-571-000,"399 R. Castillo St, Salapawan, City of Davao",City of Davao,Davao Del Sur,1152,11-000-000-001152,TD-11-2024-001152,Davao Del Norte,Island Garden City of Samal,San Agustin,"713 J.P. Laurel Ave, San Agustin, Island Garden City of Samal",Residential,RES-01,Residential Zone,Single Detached Housing,LOT-01152,N/A,112,867329.32,0.2,173465.86,0.0116,2012.2,2022,2022-09-30,16,8,3,2,87.3,2054.97,5.0,1
4600,1161,Individual,Juan M. Tolentino,261-883-827-000,"575 Bonifacio St, Bolton, Malalag",Malalag,Davao Del Sur,2300,11-000-000-002300,TD-11-2024-002300,Davao Del Sur,City of Davao,Pangyan,"901 Quimpo Blvd, Pangyan, City of Davao",Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,LOT-02300,N/A,1500,2691676.18,0.4,1076670.47,0.0124,13350.71,2022,2022-09-30,3,2,2,0,49.9,3017.02,44.99,1
912,697,Individual,Mikaela T. Mendoza,797-491-579-000,"687 McArthur Highway, Barangay 26-C (Pob.), City of Davao",City of Davao,Davao Del Sur,456,11-000-000-000456,TD-11-2024-000456,Davao Oriental,Lupon,Don Mariano Marcos,"818 Lacson St, Don Mariano Marcos, Lupon",Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,LOT-00456,N/A,1719,2789255.69,0.4,1115702.28,0.0131,14615.7,2024,2024-03-31,4,5,2,1,52.6,9817.9,40.54,1
24,1735,Individual,Nina X. De Leon,835-605-845-000,"895 Torres St, Gov. Paciano Bangoy, City of Davao",City of Davao,Davao Del Sur,12,11-000-000-000012,TD-11-2024-000012,Davao Del Norte,Asuncion,New Santiago,"320 McArthur Highway, New Santiago, Asuncion",Residential,RES-01,Residential Zone,Single Detached Housing,LOT-00012,N/A,105,543696.83,0.2,108739.37,0.0144,1565.85,2024,2024-03-31,17,8,3,1,43.2,1095.5,39.65,0
978,1857,Individual,Jerome P. Salazar,957-971-699-000,"456 Buhangin Road, Barangay 34-D (Pob.), City of Davao",City of Davao,Davao Del Sur,489,11-000-000-000489,TD-11-2024-000489,Davao Del Norte,City of Tagum,Liboganon,"Unit 14D, Matina Enclaves, Liboganon, City of Tagum",Residential Condo,RES-02,Residential High Density,Condominium Residential,LOT-00489,Unit 14D,100,1194597.48,0.25,298649.37,0.0132,3942.17,2024,2024-06-30,21,8,3,1,55.8,3267.48,48.84,0
539,889,Individual,Liza U. Valdez,989-067-923-000,"173 Lacson St, Mahayag, City of Davao",City of Davao,Davao Del Sur,270,11-000-000-000270,TD-11-2024-000270,Davao Del Sur,City of Davao,Calinan (Pob.),"Lot 115, Purok 8, Calinan (Pob.), City of Davao",Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,LOT-00270,N/A,567,2516693.02,0.2,503338.6,0.0126,6342.07,2022,2022-03-31,13,8,3,1,47.4,4681.01,29.17,1
643,791,Company,Malagos Business Center Corp.,891-773-237-000,"842 Quimpo Blvd, Palili, Padada",Padada,Davao Del Sur,322,11-000-000-000322,TD-11-2024-000322,Davao Del Sur,City of Davao,Calinan (Pob.),"571 McArthur Highway, Calinan (Pob.), City of Davao",Commercial,COM-01,Commercial Zone,Retail / Office,LOT-00322,N/A,113,2146486.87,0.5,1073243.44,0.0167,17923.17,2021,2021-12-31,11,8,1,0,14.1,5516.5,82.4,0
2278,1922,Individual,Louise N. Tolentino,022-166-154-000,"539 Quimpo Blvd, Nuing, Jose Abad Santos",Jose Abad Santos,Davao Occidental,1139,11-000-000-001139,TD-11-2024-001139,Davao Del Sur,City of Davao,Indangan,"Lot 55, Purok 7, Indangan, City of Davao",Commercial Vacant Land,CVL-01,Commercial Expansion Zone,Idle Commercial Land,LOT-01139,N/A,304,1714627.45,0.4,685850.98,0.0127,8710.31,2024,2024/12/31,18,8,2,1,53.0,4488.56,47.98,0
231,159,Company,Catalunan Prime Estates Co.,259-877-813-000," 318 Bonifacio St, Upper Licanan, City of Panabo  ",City of Panabo,Davao Del Norte,116,11-000-000-000116,TD/11/2024/000116,Davao Del Sur,City of Davao,Barangay 8-A (Pob.),"420 McArthur Highway, Barangay 8-A (Pob.), City of Davao",Industrial,IND-01,Industrial Zone,Warehouse / Light Manufacturing,LOT-00116,N/A,1733,20296930.97,0.5,10148465.48,0.0145,147152.75,2023,2023-12-31,19,8,3,1,42.8,96058.65,43.18,1
1555,1678,Individual,Joshua U. Serrano,778-434-446-000,"99 Diversion Road, Kauswagan, Matanao",Matanao,Davao Del Sur,778,11-000-000-000778,TD-11-2024-000778,Davao Del Norte,Island Garden City of Samal,Mambago-A,"250 J.P. Laurel Ave, Mambago-A, Island Garden City of Samal",Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,LOT-00778,N/A,3966,7925474.6,0.4,3170189.84,0.0114,36140.16,2021,2021-12-31,4,3,1,1,41.7,18067.85,58.53,0
1984,1464,Individual,Ella C. Reyes,564-792-948-000,"258 Bajada Road, Barangay 11-B (Pob.), City of Davao",City of Davao,Davao Del Sur,992,11-000-000-000992,TD-11-2024-000992,Davao De Oro,Mabini,Cuambog (Pob.),"707 Bajada Road, Cuambog (Pob.), Mabini",Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,LOT-00992,N/A,4629,9959059.52,0.4,3983623.81,0.0105,41828.05,2022,2022-09-30,12,8,3,1,56.0,33657.09,31.88,1
3966,1443,Company,Mindanao Prime Estates Enterprises,543-729-801-000,"911 Quimpo Blvd, Little Baguio, Malita",Malita,Davao Occidental,1983,11-000-000-001983,TD-11-2024-001983,Davao Del Sur,City of Davao,Toril (Pob.),"745 Torres St, Toril (Pob.), City of Davao",Residential,RES-01,Residential Zone,Single Detached Housing,LOT-01983,N/A,239,2111789.23,0.2,422357.85,0.0131,5532.89,2024,2024-12-31,9,8,2,1,52.5,3572.48,40.28,0
1823,275,Individual,Juan G. Bernardo,375-225-625-000,"661 Agdao Road, Malamba, City of Davao",City of Davao,Davao Del Sur,912,11-000-000-000912,TD-11-2024-000912,Davao Del Sur,City of Davao,Tigatto,"Lot 47, Purok 7, Tigatto, City of Davao",Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,LOT-00912,N/A,677,2431269.7,0.2,486253.94,0.0111,5397.42,2021,2021-06-30,3,2,1,0,10.1,1068.89,73.3,0
1182,975,Company,Tagum Properties Corp.,075-325-525-000,"822 Bonifacio St, Cabantian, City of Davao",City of Davao,Davao Del Sur,591,11-000-000-000591,TD-11-2024-000591,Davao Oriental,Lupon,Magsaysay,"945 J.P. Laurel Ave, Magsaysay, Lupon",Residential,RES-01,Residential Zone,Single Detached Housing,LOT-00591,N/A,213,827008.43,0.2,165401.69,0.0137,2266.0,2023,2023-09-30,16,8,1,1,28.4,974.23,70.06,0
3943,343,Company,Davao Farms LLC,443-429-101-000,"590 Cabaguio Ave, Pagsabangan, City of Tagum",City of Tagum,Davao Del Norte,1972,11-000-000-001972,TD/11/2024/001972,Davao Del Sur,City of Davao,Centro (San Juan),"382 Bajada Road, Centro (San Juan), City of Davao",Mixed Use,MIX-01,Mixed Use Corridor,Residential-Commercial,LOT-01972,N/A,247,3773200.37,0.45,1697940.17,0.017,28864.98,2021,2021-06-30,7,6,3,2,71.2,26311.99,5.0,1
4530,541,Individual,Alyssa A. Luna,641-023-487-000,"656 Torres St, Tibal-og (Pob.), Santo Tomas",Santo Tomas,Davao Del Norte,2265,11-000-000-002265,TD-11-2024-002265,Davao Oriental,Lupon,Tagugpo,"839 Catalunan Grande Road, Tagugpo, Lupon",Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,LOT-02265,N/A,3148,5648341.63,0.4,2259336.65,0.0133,30049.18,2022,2022-12-31,12,8,1,0,23.6,8175.11,78.13,0
2684,1375,Individual,Pauline X. Serrano,475-525-325-000,"739 Quimpo Blvd, Kiobog, Don Marcelino",Don Marcelino,Davao Occidental,1342,11-000-000-001342,TD-11-2024-001342,Davao Del Norte,City of Panabo,San Pedro,"946 Cabaguio Ave, San Pedro, City of Panabo",Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,LOT-01342,N/A,4902,5056637.0,0.4,2022654.8,0.01,20226.55,2024,2024-09-30,7,6,2,1,38.7,13183.35,47.39,0
2987,562,Company,Maa Township Co.,662-086-634-000,"136 Torres St, Alambre, City of Davao",City of Davao,Davao Del Sur,1494,11-000-000-001494,TD-11-2024-001494,Davao Oriental,City of Mati,Luban,"599 Lacson St, Luban, City of Mati",Commercial,COM-01,Commercial Zone,Retail / Office,LOT-01494,N/A,384,6091702.4,0.5,3045851.2,0.016,48733.62,2022,2022-03-31,11,8,3,2,77.8,47238.17,7.15,1
4696,1813,Individual,Francis V. Bernardo,913-839-391-000,"549 Diversion Road, Barangay 36-D (Pob.), City of Davao",City of Davao,Davao Del Sur,2348,11-000-000-002348,TD-11-2024-002348,Davao Del Sur,City of Davao,Bantol,"380 R. Castillo St, Bantol, City of Davao",Residential,RES-01,Residential Zone,Single Detached Housing,LOT-02348,N/A,128,1242002.4,0.2,248400.48,0.0133,3303.73,2023,2023-12-31,7,7,2,1,34.0,1963.23,34.98,0
4589,1952,Company,Samal Landholdings LLC,052-256-364-000,"698 Bonifacio St, Mamacao, Kapalong",Kapalong,Davao Del Norte,2295,11-000-000-002295,TD-11-2024-002295,Davao Del Sur,City of Davao,Sasa,"Lot 163, Purok 7, Sasa, City of Davao",Commercial Vacant Land,CVL-01,Commercial Expansion Zone,Idle Commercial Land,LOT-02295,N/A,1016,9054298.09,0.4,3621719.24,0.0133,48168.87,2021,2021-03-31,16,8,5,2,97.0,57984.88,5.0,1
4372,785,Individual,Catherine L. Bautista,885-755-195-000," 966 McArthur Highway, Barangay 5-A (Pob.), City of Davao  ",City of Davao,Davao Del Sur,2186,11-000-000-002186,TD-11-2024-002186,Davao Del Sur,City of Davao,Mahayag,"655 Diversion Road, Mahayag, City of Davao",Mixed Use,MIX-01,Mixed Use Corridor,Residential-Commercial,LOT-02186,N/A,331,3884010.17,0.45,1747804.58,0.0139,24294.48,2024,09/30/2024,5,4,1,1,41.7,12474.44,61.99,0
4033,138,Company,Malagos Properties Co.,238-814-666-000,"820 Quimpo Blvd, Pandaitan, City of Davao",City of Davao,Davao Del Sur,2017,11-000-000-002017,TD-11-2024-002017,Davao Del Sur,City of Davao,Barangay 31-D (Pob.),"542 Torres St, Barangay 31-D (Pob.), City of Davao",Mixed Use,MIX-01,Mixed Use Corridor,Residential-Commercial,LOT-02017,N/A,226,4737864.23,0.45,2132038.9,0.0151,32193.79,2021,2021-09-30,1,2,1,1,52.5,15907.63,41.63,1
2656,997,Individual,Althea V. Luna,097-391-679-000,"325 Diversion Road, Tinongtongan, Bansalan",Bansalan,Davao Del Sur,1328,11-000-000-001328,TD-11-2024-001328,Davao Del Sur,City of Davao,Dominga,"678 J.P. Laurel Ave, Dominga, City of Davao",Residential,RES-01,Residential Zone,Single Detached Housing,LOT-01328,N/A,254,1718568.82,0.2,343713.76,0.011,3780.85,2022,2022-09-30,3,2,1,1,42.3,2366.37,50.5,1
1273,916,Individual,Louise I. Macapagal,016-148-112-000,"458 Agdao Road, Panacan, City of Davao",City of Davao,Davao Del Sur,637,11-000-000-000637,TD-11-2024-000637,Davao Del Sur,City of Davao,Matina Pangi,"599 J.P. Laurel Ave, Matina Pangi, City of Davao",Residential,RES-01,Residential Zone,Single Detached Housing,LOT-00637,N/A,310,2336130.69,0.2,467226.14,0.0129,6027.22,2022,2022-12-31,6,7,2,1,48.8,4044.19,34.64,1
801,417,Individual,Danica I. Mendoza,517-651-619-000,"174 Diversion Road, Barangay 40-D (Pob.), City of Davao",City of Davao,Davao Del Sur,401,11-000-000-000401,TD-11-2024-000401,Davao Del Sur,Hagonoy,Guihing Aplaya,"Lot 198, Purok 8, Guihing Aplaya, Hagonoy",Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,LOT-00401,N/A,567,1326850.13,0.2,265370.03,0.0128,3396.74,2021,2021-09-30,11,8,3,1,53.2,2457.27,28.59,1
4306,483,Individual,Paolo L. Fernandez,583-849-081-000,"347 Catalunan Grande Road, San Roque, Maco",Maco,Davao De Oro,2153,11-000-000-002153,TD-11-2024-002153,Davao Del Sur,City of Davao,Paradise Embak,"579 Torres St, Paradise Embak, City of Davao",Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,LOT-02153,N/A,3170,4801485.87,0.4,1920594.35,0.011,21126.54,2023,2023-03-31,11,8,3,1,49.2,13486.94,35.56,1
1039,844,Individual,Nathan K. Galang,944-932-608-000,"536 Buhangin Road, Kanaan, Island Garden City of Samal",Island Garden City of Samal,Davao Del Norte,520,11-000-000-000520,TD-11-2024-000520,Davao Del Sur,City of Davao,Baguio (Pob.),"706 Bajada Road, Baguio (Pob.), City of Davao",Residential,RES-01,Residential Zone,Single Detached Housing,LOT-00520,N/A,193,1956673.21,0.2,391334.64,0.0136,5322.15,2021,2021-06-30,5,4,1,0,18.7,1563.18,88.25,0
